OBSR_NO.,DAY,Location,No. Empl,Customer Sat,Application Used,Loan/Lease,Approved/Dis,Amount,Approval Time,Wait for Info,Wait - Discrete,Cycle Time,Log10 Cycle Time,Cycle Time - Discrete
29,1,Paris,13,4,1,Lease,Disapproved,36,3,0,No,5,0.69897,Pass
30,1,New York,13,4,2,Loan,Disapproved,75,5,2,Yes,10,1,Fail
31,1,New York,5,4,3,Lease,Approved,31,6,1,Yes,11,1.04139,Fail
32,1,New York,7,4,2,Lease,Approved,52,4,0,No,8,0.90309,Pass
33,1,New York,9,3,2,Lease,Approved,43,5,0,No,9,0.95424,Fail
34,1,New York,6,4,3,Lease,Approved,64,5,0,No,9,0.95424,Fail
35,1,Sydney,15,4,3,Lease,Disapproved,75,5,0,No,10,1,Fail
36,1,Paris,13,5,1,Loan,Disapproved,84,2,0,No,4,0.60206,Pass
37,1,New York,7,4,3,Lease,Approved,48,4,0,No,6,0.77815,Pass
38,1,Paris,11,4,3,Lease,Approved,37,2,0,No,4,0.60206,Pass
39,1,New York,6,3,1,Lease,Approved,60,5,0,No,9,0.95424,Fail
40,1,New York,9,3,2,Lease,Approved,65,4,0,No,8,0.90309,Pass
41,1,New York,14,3,1,Lease,Disapproved,71,6,1,Yes,11,1.04139,Fail
42,1,Paris,5,5,1,Lease,Approved,52,2,0,No,4,0.60206,Pass
43,1,Paris,12,4,3,Lease,Approved,53,2,0,No,4,0.60206,Pass
44,1,Paris,14,4,1,Lease,Disapproved,24,2,0,No,4,0.60206,Pass
45,1,Paris,13,3,1,Lease,Disapproved,35,4,0,No,8,0.90309,Pass
46,1,New York,3,4,1,Lease,Approved,39,4,1,Yes,7,0.8451,Pass
47,1,Paris,4,4,2,Loan,Approved,28,3,0,No,5,0.69897,Pass
48,1,Sydney,10,2,3,Lease,Approved,67,11,6,Yes,23,1.36173,Fail
49,1,Paris,5,4,1,Lease,Approved,26,4,2,Yes,7,0.8451,Pass
50,1,New York,11,2,2,Lease,Approved,85,6,1,Yes,11,1.04139,Fail
51,1,Sydney,12,3,3,Lease,Approved,71,8,4,Yes,17,1.23045,Fail
52,1,New York,12,5,2,Lease,Approved,92,5,0,No,10,1,Fail
53,1,Paris,9,5,3,Lease,Approved,43,4,1,Yes,7,0.8451,Pass
54,1,New York,4,3,1,Loan,Approved,54,5,0,No,10,1,Fail
55,1,Sydney,9,1,1,Lease,Approved,65,7,3,Yes,14,1.14613,Fail
56,1,Sydney,16,2,2,Lease,Disapproved,49,6,1,Yes,11,1.04139,Fail
57,1,Sydney,14,2,2,Lease,Disapproved,58,7,2,Yes,13,1.11394,Fail
58,1,New York,5,4,2,Lease,Approved,60,6,1,Yes,11,1.04139,Fail
59,1,Sydney,10,2,3,Lease,Approved,66,8,3,Yes,16,1.20412,Fail
60,1,New York,12,5,3,Lease,Approved,55,4,0,No,8,0.90309,Pass
61,1,Paris,8,5,1,Lease,Approved,51,4,1,Yes,6,0.77815,Pass
62,1,Sydney,13,1,1,Lease,Disapproved,62,5,0,No,9,0.95424,Fail
63,1,Paris,9,5,3,Lease,Approved,63,4,0,No,6,0.77815,Pass
64,1,New York,15,1,2,Loan,Disapproved,64,6,2,Yes,11,1.04139,Fail
65,1,New York,8,5,1,Lease,Approved,55,4,0,No,7,0.8451,Pass
66,1,Paris,11,5,1,Lease,Approved,59,5,0,No,10,1,Fail
67,1,New York,9,5,2,Lease,Approved,48,4,0,No,7,0.8451,Pass
68,1,New York,13,1,2,Lease,Disapproved,107,6,1,Yes,12,1.07918,Fail
69,1,New York,9,5,1,Lease,Approved,66,5,0,No,9,0.95424,Fail
70,1,Sydney,11,2,3,Lease,Approved,25,8,3,Yes,16,1.20412,Fail
71,1,New York,5,5,2,Loan,Approved,51,5,0,No,9,0.95424,Fail
72,1,New York,11,5,3,Lease,Approved,42,4,0,No,7,0.8451,Pass
73,1,Paris,13,3,2,Lease,Disapproved,53,5,0,No,9,0.95424,Fail
74,1,New York,2,5,3,Lease,Approved,84,4,0,No,8,0.90309,Pass
75,1,Paris,6,5,2,Lease,Approved,55,4,1,Yes,6,0.77815,Pass
76,1,New York,7,4,3,Lease,Approved,89,5,0,No,9,0.95424,Fail
77,1,New York,7,4,3,Lease,Approved,28,6,3,Yes,11,1.04139,Fail
78,1,Sydney,8,4,2,Lease,Approved,30,7,3,Yes,14,1.14613,Fail
79,1,New York,16,4,3,Lease,Disapproved,56,4,0,No,8,0.90309,Pass
80,1,New York,15,4,2,Lease,Disapproved,45,4,0,No,8,0.90309,Pass
81,1,New York,8,4,1,Lease,Approved,41,4,0,No,8,0.90309,Pass
82,1,New York,12,4,2,Lease,Approved,92,7,3,Yes,14,1.14613,Fail
83,1,Sydney,16,4,3,Lease,Disapproved,83,6,2,Yes,11,1.04139,Fail
84,1,Sydney,12,1,1,Lease,Approved,24,8,3,Yes,17,1.23045,Fail
85,1,New York,9,4,3,Lease,Approved,35,6,1,Yes,12,1.07918,Fail
86,1,Sydney,9,4,3,Lease,Approved,29,6,1,Yes,12,1.07918,Fail
87,1,New York,8,4,1,Lease,Approved,68,4,1,Yes,6,0.77815,Pass
88,1,New York,12,4,1,Lease,Approved,37,5,0,No,9,0.95424,Fail
89,1,New York,9,4,3,Lease,Approved,36,5,0,No,10,1,Fail
90,1,Sydney,10,4,1,Lease,Approved,45,6,1,Yes,12,1.07918,Fail
91,1,Paris,9,3,2,Lease,Approved,71,3,0,No,5,0.69897,Pass
92,1,New York,11,3,3,Lease,Approved,42,5,0,No,10,1,Fail
93,1,Paris,15,3,1,Lease,Disapproved,33,3,0,No,5,0.69897,Pass
94,1,Sydney,10,3,3,Lease,Approved,54,8,4,Yes,17,1.23045,Fail
95,1,Sydney,15,3,3,Lease,Disapproved,55,5,0,No,10,1,Fail
96,1,Sydney,12,3,3,Lease,Approved,59,9,4,Yes,18,1.25527,Fail
97,1,Sydney,5,3,2,Lease,Approved,60,6,3,Yes,11,1.04139,Fail
98,1,New York,12,3,2,Loan,Approved,27,4,2,Yes,7,0.8451,Pass
99,1,New York,11,3,2,Loan,Approved,46,4,0,No,8,0.90309,Pass
100,1,New York,11,3,3,Lease,Approved,25,3,0,No,5,0.69897,Pass
101,1,New York,11,4,2,Loan,Approved,31,4,1,Yes,7,0.8451,Pass
102,1,New York,5,4,1,Lease,Approved,82,5,0,No,10,1,Fail
103,1,New York,12,4,2,Lease,Approved,63,4,1,Yes,6,0.77815,Pass
104,1,Sydney,6,2,1,Loan,Approved,34,11,4,Yes,21,1.32222,Fail
105,1,Sydney,12,2,3,Lease,Approved,65,6,2,Yes,11,1.04139,Fail
106,1,Sydney,8,5,2,Lease,Approved,69,10,4,Yes,20,1.30103,Fail
107,1,New York,8,4,1,Lease,Approved,28,4,1,Yes,7,0.8451,Pass
108,1,Sydney,14,1,1,Lease,Disapproved,67,8,3,Yes,16,1.20412,Fail
109,1,Paris,10,5,2,Lease,Approved,56,0,0,No,3,0.47712,Pass
110,1,Paris,18,5,1,Lease,Disapproved,45,4,0,No,8,0.90309,Pass
111,1,Sydney,8,2,1,Loan,Approved,81,9,7,Yes,18,1.25527,Fail
112,1,New York,14,3,3,Lease,Disapproved,42,5,0,No,10,1,Fail
113,1,Sydney,9,1,2,Lease,Approved,63,12,2,Yes,28,1.44716,Fail
114,1,Paris,12,5,3,Lease,Approved,24,4,1,Yes,6,0.77815,Pass
115,1,Sydney,10,1,1,Lease,Approved,55,11,6,Yes,23,1.36173,Fail
116,1,New York,11,5,1,Lease,Approved,80,4,1,Yes,6,0.77815,Pass
117,1,Sydney,14,3,1,Lease,Disapproved,88,11,5,Yes,22,1.34242,Fail
118,1,New York,11,5,2,Lease,Approved,27,4,0,No,8,0.90309,Pass
119,1,Paris,15,4,2,Loan,Disapproved,36,2,0,No,4,0.60206,Pass
120,1,Paris,9,5,3,Lease,Approved,65,0,0,No,4,0.60206,Pass
121,1,Sydney,9,2,2,Loan,Approved,41,8,3,Yes,16,1.20412,Fail
122,1,Sydney,8,3,3,Lease,Approved,72,8,4,Yes,17,1.23045,Fail
123,1,Paris,10,5,3,Lease,Approved,43,5,0,No,10,1,Fail
124,1,Paris,10,5,2,Lease,Approved,24,4,0,No,8,0.90309,Pass
125,1,New York,7,5,1,Lease,Approved,45,5,0,No,9,0.95424,Fail
126,1,New York,10,5,3,Lease,Approved,49,6,2,Yes,12,1.07918,Fail
127,2,New York,7,5,3,Loan,Approved,78,5,0,No,10,1,Fail
128,2,New York,13,4,1,Lease,Disapproved,77,4,1,Yes,7,0.8451,Pass
129,2,Paris,8,5,1,Loan,Approved,56,3,0,No,5,0.69897,Pass
130,2,Paris,11,5,3,Lease,Approved,25,5,0,No,9,0.95424,Fail
131,2,New York,6,4,1,Lease,Approved,71,4,0,No,8,0.90309,Pass
132,2,Paris,12,4,3,Lease,Approved,92,4,0,No,6,0.77815,Pass
133,2,New York,18,4,1,Lease,Disapproved,43,0,0,No,3,0.47712,Pass
134,2,New York,8,4,3,Loan,Approved,34,5,0,No,9,0.95424,Fail
135,2,Sydney,13,4,1,Loan,Disapproved,6,7,3,Yes,14,1.14613,Fail
136,2,Paris,9,4,2,Loan,Approved,39,2,0,No,4,0.60206,Pass
137,2,Paris,9,4,3,Lease,Approved,18,2,0,No,4,0.60206,Pass
138,2,New York,14,4,3,Lease,Disapproved,37,4,1,Yes,7,0.8451,Pass
139,2,New York,11,4,1,Loan,Approved,86,4,0,No,6,0.77815,Pass
140,2,New York,10,4,3,Loan,Approved,35,5,0,No,9,0.95424,Fail
141,2,Paris,6,4,2,Loan,Approved,31,4,0,No,7,0.8451,Pass
142,2,New York,14,4,1,Loan,Disapproved,92,4,1,Yes,6,0.77815,Pass
143,2,New York,12,4,3,Lease,Approved,53,3,0,No,5,0.69897,Pass
144,2,Sydney,9,4,1,Loan,Approved,34,5,3,Yes,10,1,Fail
145,2,New York,7,4,2,Loan,Approved,45,4,0,No,6,0.77815,Pass
146,2,New York,11,3,1,Lease,Approved,129,4,1,Yes,7,0.8451,Pass
147,2,New York,12,3,3,Loan,Approved,68,4,0,No,8,0.90309,Pass
148,2,Paris,5,3,1,Loan,Approved,47,3,1,Yes,5,0.69897,Pass
149,2,Sydney,13,3,2,Lease,Disapproved,36,6,3,Yes,11,1.04139,Fail
150,2,Sydney,8,3,1,Lease,Approved,65,5,0,No,9,0.95424,Fail
151,2,New York,10,3,3,Lease,Approved,71,5,0,No,9,0.95424,Fail
152,2,New York,12,3,1,Lease,Approved,32,4,0,No,8,0.90309,Pass
153,2,New York,8,3,1,Loan,Approved,33,4,0,No,8,0.90309,Pass
154,2,Paris,9,5,3,Lease,Approved,142,4,1,Yes,6,0.77815,Pass
155,2,New York,6,3,3,Lease,Approved,90,4,1,Yes,7,0.8451,Pass
156,2,New York,12,4,1,Loan,Approved,79,4,0,No,8,0.90309,Pass
157,2,New York,10,4,1,Lease,Approved,38,4,0,No,7,0.8451,Pass
158,2,New York,5,4,2,Lease,Approved,17,4,0,No,7,0.8451,Pass
159,2,Paris,5,5,3,Lease,Approved,46,4,0,No,7,0.8451,Pass
160,2,New York,10,5,3,Lease,Approved,95,4,1,Yes,6,0.77815,Pass
161,2,New York,18,5,3,Lease,Disapproved,31,4,0,No,8,0.90309,Pass
162,2,New York,10,3,3,Lease,Approved,82,4,1,Yes,7,0.8451,Pass
163,2,Paris,11,4,2,Lease,Approved,53,3,2,Yes,5,0.69897,Pass
164,2,New York,7,5,1,Loan,Approved,84,4,1,Yes,6,0.77815,Pass
165,2,Paris,12,5,3,Loan,Approved,55,0,0,No,3,0.47712,Pass
166,2,New York,10,5,1,Lease,Approved,79,5,0,No,9,0.95424,Fail
167,2,New York,8,5,2,Loan,Approved,8,5,0,No,10,1,Fail
168,2,Paris,6,5,3,Lease,Approved,67,4,2,Yes,7,0.8451,Pass
169,2,Sydney,14,3,2,Lease,Disapproved,36,8,8,Yes,17,1.23045,Fail
170,2,New York,10,5,2,Lease,Approved,25,4,1,Yes,7,0.8451,Pass
171,2,New York,6,5,2,Lease,Approved,81,2,1,Yes,4,0.60206,Pass
172,2,New York,8,5,1,Loan,Approved,12,6,3,Yes,11,1.04139,Fail
173,2,New York,15,4,1,Lease,Disapproved,60,4,2,Yes,7,0.8451,Pass
174,2,New York,13,3,2,Lease,Disapproved,44,3,1,Yes,5,0.69897,Pass
175,2,Paris,11,5,3,Loan,Approved,35,4,1,Yes,7,0.8451,Pass
176,2,New York,6,5,3,Lease,Approved,69,5,0,No,9,0.95424,Fail
177,2,New York,15,5,3,Lease,Disapproved,38,4,0,No,8,0.90309,Pass
178,2,Paris,5,5,1,Loan,Approved,27,4,1,Yes,6,0.77815,Pass
179,2,Paris,12,5,2,Lease,Approved,16,3,1,Yes,5,0.69897,Pass
180,2,New York,11,5,3,Lease,Approved,35,4,1,Yes,6,0.77815,Pass
181,2,Paris,12,5,2,Loan,Approved,21,4,0,No,8,0.90309,Pass
182,2,New York,8,5,3,Lease,Approved,82,5,0,No,10,1,Fail
183,2,New York,6,5,1,Lease,Approved,103,4,0,No,8,0.90309,Pass
184,2,Sydney,12,3,3,Lease,Approved,84,7,3,Yes,14,1.14613,Fail
185,2,New York,8,5,2,Loan,Approved,85,4,0,No,6,0.77815,Pass
186,2,Paris,14,4,1,Lease,Disapproved,69,4,1,Yes,6,0.77815,Pass
187,2,Sydney,8,4,1,Loan,Approved,68,6,2,Yes,11,1.04139,Fail
188,2,Sydney,13,4,1,Lease,Disapproved,37,6,2,Yes,11,1.04139,Fail
189,2,New York,16,4,1,Lease,Disapproved,66,6,2,Yes,11,1.04139,Fail
190,2,New York,4,4,3,Lease,Approved,15,5,0,No,9,0.95424,Fail
191,2,Sydney,12,4,3,Lease,Approved,71,7,3,Yes,14,1.14613,Fail
192,2,Paris,7,4,3,Lease,Approved,30,2,0,No,4,0.60206,Pass
193,2,New York,12,4,1,Lease,Approved,23,5,0,No,9,0.95424,Fail
194,2,New York,9,4,3,Lease,Approved,34,4,0,No,8,0.90309,Pass
195,2,Paris,13,5,2,Lease,Disapproved,95,0,0,No,3,0.47712,Pass
196,2,New York,8,4,1,Lease,Approved,39,4,2,Yes,7,0.8451,Pass
197,2,Paris,12,4,3,Loan,Approved,28,2,0,No,4,0.60206,Pass
198,2,Sydney,7,4,2,Lease,Approved,67,7,3,Yes,14,1.14613,Fail
199,2,Paris,12,4,3,Loan,Approved,46,5,0,No,9,0.95424,Fail
200,2,New York,11,4,1,Loan,Approved,35,5,0,No,9,0.95424,Fail
201,2,New York,8,4,2,Loan,Approved,41,3,0,No,5,0.69897,Pass
202,2,Paris,16,3,3,Lease,Disapproved,72,0,0,No,3,0.47712,Pass
203,2,Paris,14,5,2,Lease,Disapproved,53,3,2,Yes,5,0.69897,Pass
204,2,Sydney,11,3,2,Loan,Approved,44,7,4,Yes,13,1.11394,Fail
205,2,New York,14,3,2,Lease,Disapproved,45,5,0,No,10,1,Fail
206,2,Paris,8,4,1,Lease,Approved,59,4,1,Yes,6,0.77815,Pass
207,2,New York,10,3,2,Lease,Approved,28,6,1,Yes,11,1.04139,Fail
208,2,Sydney,8,3,3,Lease,Approved,57,9,7,Yes,18,1.25527,Fail
209,2,New York,13,3,1,Lease,Approved,66,3,1,Yes,5,0.69897,Pass
210,2,New York,10,3,2,Loan,Approved,25,4,0,No,8,0.90309,Pass
211,2,New York,10,4,1,Lease,Approved,50,4,0,No,8,0.90309,Pass
212,2,Sydney,14,2,3,Loan,Disapproved,52,5,0,No,9,0.95424,Fail
213,2,Paris,14,4,3,Lease,Disapproved,23,4,1,Yes,6,0.77815,Pass
214,2,Sydney,7,2,2,Lease,Approved,84,6,5,Yes,12,1.07918,Fail
215,3,New York,13,4,3,Loan,Approved,65,4,1,Yes,6,0.77815,Pass
216,3,New York,13,4,1,Lease,Approved,74,4,1,Yes,7,0.8451,Pass
217,3,New York,9,5,1,Lease,Approved,28,5,0,No,9,0.95424,Fail
218,3,Paris,7,5,2,Lease,Approved,27,4,0,No,8,0.90309,Pass
219,3,New York,7,5,2,Lease,Approved,36,2,0,No,4,0.60206,Pass
220,3,New York,17,1,3,Lease,Disapproved,25,5,0,No,9,0.95424,Fail
221,3,Paris,14,5,3,Loan,Disapproved,41,0,0,No,3,0.47712,Pass
222,3,Paris,13,5,3,Loan,Approved,62,4,1,Yes,6,0.77815,Pass
223,3,New York,8,5,3,Lease,Approved,53,3,0,No,5,0.69897,Pass
224,3,Paris,9,5,2,Lease,Approved,44,4,2,Yes,7,0.8451,Pass
225,3,Paris,10,5,3,Lease,Approved,45,4,1,Yes,7,0.8451,Pass
226,3,New York,13,5,2,Lease,Approved,29,4,0,No,8,0.90309,Pass
227,3,Paris,14,5,2,Lease,Disapproved,18,0,0,No,3,0.47712,Pass
228,3,New York,11,5,3,Lease,Approved,72,6,1,Yes,11,1.04139,Fail
229,3,Paris,13,5,2,Lease,Approved,36,4,1,Yes,6,0.77815,Pass
230,3,Sydney,14,1,2,Lease,Disapproved,20,7,4,Yes,13,1.11394,Fail
231,3,New York,8,4,3,Loan,Approved,71,3,0,No,5,0.69897,Pass
232,3,New York,14,4,2,Lease,Disapproved,32,3,0,No,5,0.69897,Pass
233,3,New York,5,5,1,Loan,Approved,63,4,1,Yes,7,0.8451,Pass
234,3,New York,8,5,1,Lease,Approved,54,5,2,Yes,10,1,Fail
235,3,Sydney,8,5,2,Loan,Approved,55,5,0,No,9,0.95424,Fail
236,3,Sydney,8,5,3,Loan,Approved,19,6,1,Yes,11,1.04139,Fail
237,3,Paris,5,5,2,Lease,Approved,18,3,0,No,5,0.69897,Pass
238,3,New York,7,5,1,Lease,Approved,67,5,0,No,9,0.95424,Fail
239,3,New York,14,4,1,Lease,Disapproved,86,5,0,No,10,1,Fail
240,3,Paris,9,5,3,Lease,Approved,105,2,0,No,4,0.60206,Pass
241,3,Paris,6,4,1,Lease,Approved,51,4,1,Yes,6,0.77815,Pass
242,3,New York,14,4,2,Lease,Disapproved,62,4,2,Yes,7,0.8451,Pass
243,3,New York,10,4,3,Lease,Approved,78,4,0,No,8,0.90309,Pass
244,3,Sydney,8,4,1,Loan,Approved,54,8,6,Yes,15,1.17609,Fail
245,3,New York,12,4,2,Lease,Approved,65,3,0,No,5,0.69897,Pass
246,3,Sydney,11,4,3,Lease,Approved,59,10,4,Yes,19,1.27875,Fail
247,3,New York,8,4,1,Loan,Approved,48,4,0,No,8,0.90309,Pass
248,3,New York,12,4,1,Lease,Approved,77,6,1,Yes,11,1.04139,Fail
249,3,New York,7,4,2,Lease,Approved,70,4,0,No,8,0.90309,Pass
250,3,Sydney,10,2,2,Lease,Approved,25,8,3,Yes,15,1.17609,Fail
251,3,New York,9,4,3,Lease,Approved,71,5,2,Yes,10,1,Fail
252,3,Paris,15,4,3,Lease,Disapproved,62,3,0,No,5,0.69897,Pass
253,3,New York,4,4,1,Loan,Approved,53,5,2,Yes,10,1,Fail
254,3,Paris,8,4,1,Lease,Approved,64,2,0,No,4,0.60206,Pass
255,3,Paris,8,4,3,Loan,Approved,45,4,1,Yes,6,0.77815,Pass
256,3,Paris,13,3,2,Lease,Approved,59,4,0,No,7,0.8451,Pass
257,3,Paris,11,5,3,Loan,Approved,18,3,0,No,5,0.69897,Pass
258,3,New York,10,3,1,Loan,Approved,37,5,2,Yes,10,1,Fail
259,3,New York,11,3,3,Lease,Approved,66,4,0,No,8,0.90309,Pass
260,3,New York,9,3,3,Lease,Approved,45,3,0,No,5,0.69897,Pass
261,3,Paris,13,5,3,Lease,Disapproved,51,3,0,No,5,0.69897,Pass
262,3,New York,12,3,3,Lease,Approved,52,2,1,Yes,4,0.60206,Pass
263,3,New York,8,3,3,Lease,Approved,63,4,0,No,7,0.8451,Pass
264,3,Paris,12,5,3,Lease,Approved,64,2,1,Yes,4,0.60206,Pass
265,3,Paris,5,3,1,Lease,Approved,45,4,0,No,7,0.8451,Pass
266,3,New York,9,5,3,Loan,Approved,59,4,0,No,6,0.77815,Pass
267,3,New York,7,4,3,Lease,Approved,68,4,1,Yes,6,0.77815,Pass
268,3,Sydney,7,2,3,Lease,Approved,40,7,5,Yes,13,1.11394,Fail
269,3,New York,15,1,2,Loan,Disapproved,46,8,3,Yes,15,1.17609,Fail
270,3,Paris,16,4,3,Lease,Disapproved,35,3,0,No,5,0.69897,Pass
271,3,New York,5,4,3,Lease,Approved,81,4,0,No,7,0.8451,Pass
272,3,Paris,8,4,2,Loan,Approved,32,4,0,No,7,0.8451,Pass
273,3,New York,10,3,3,Lease,Approved,33,5,0,No,9,0.95424,Fail
274,3,New York,6,5,2,Lease,Approved,64,4,0,No,6,0.77815,Pass
275,3,New York,8,5,3,Loan,Approved,35,4,0,No,6,0.77815,Pass
276,3,New York,12,5,2,Lease,Approved,59,5,0,No,9,0.95424,Fail
277,3,New York,10,5,1,Lease,Approved,68,2,0,No,4,0.60206,Pass
278,3,Paris,8,5,1,Lease,Approved,37,3,0,No,5,0.69897,Pass
279,3,New York,9,5,3,Lease,Approved,46,4,1,Yes,6,0.77815,Pass
280,3,New York,8,5,3,Lease,Approved,45,4,0,No,6,0.77815,Pass
281,3,New York,11,5,2,Loan,Approved,91,4,0,No,6,0.77815,Pass
282,3,Paris,5,5,3,Lease,Approved,42,3,1,Yes,5,0.69897,Pass
283,3,New York,11,5,1,Loan,Approved,23,3,0,No,5,0.69897,Pass
284,3,Paris,8,5,3,Lease,Approved,54,4,1,Yes,6,0.77815,Pass
285,3,New York,3,5,2,Lease,Approved,35,5,0,No,9,0.95424,Fail
286,3,Paris,9,5,2,Lease,Approved,70,3,1,Yes,5,0.69897,Pass
287,3,Paris,8,5,1,Lease,Approved,68,4,0,No,7,0.8451,Pass
288,3,Sydney,9,4,1,Lease,Approved,27,7,3,Yes,14,1.14613,Fail
289,3,Sydney,10,5,1,Lease,Approved,16,5,2,Yes,10,1,Fail
290,4,New York,8,5,3,Lease,Approved,65,4,0,No,8,0.90309,Pass
291,4,Sydney,9,5,1,Loan,Approved,91,5,0,No,9,0.95424,Fail
292,4,Paris,7,5,2,Lease,Approved,42,2,0,No,4,0.60206,Pass
293,4,Paris,12,5,2,Loan,Approved,83,4,0,No,7,0.8451,Pass
294,4,New York,9,5,2,Lease,Approved,64,4,0,No,8,0.90309,Pass
295,4,Paris,9,5,3,Lease,Approved,55,0,0,No,4,0.60206,Pass
296,4,Sydney,10,4,2,Lease,Approved,39,5,0,No,9,0.95424,Fail
297,4,Paris,15,4,1,Lease,Disapproved,38,4,1,Yes,6,0.77815,Pass
298,4,Paris,9,4,3,Loan,Approved,37,4,1,Yes,6,0.77815,Pass
299,4,New York,9,4,1,Lease,Approved,36,7,2,Yes,12,1.07918,Fail
300,4,Paris,7,4,1,Lease,Approved,45,2,1,Yes,4,0.60206,Pass
301,4,New York,5,4,3,Lease,Approved,51,4,0,No,8,0.90309,Pass
302,4,New York,12,4,3,Lease,Approved,52,7,5,Yes,12,1.07918,Fail
303,4,Sydney,15,4,1,Loan,Disapproved,13,7,3,Yes,14,1.14613,Fail
304,4,New York,8,4,2,Lease,Approved,104,3,0,No,5,0.69897,Pass
305,4,Paris,11,4,2,Lease,Approved,70,2,1,Yes,4,0.60206,Pass
306,4,Paris,10,4,1,Lease,Approved,39,4,1,Yes,6,0.77815,Pass
307,4,New York,8,4,3,Loan,Approved,38,5,0,No,10,1,Fail
308,4,Paris,7,4,2,Lease,Approved,17,3,1,Yes,5,0.69897,Pass
309,4,Sydney,8,4,1,Lease,Approved,36,7,5,Yes,13,1.11394,Fail
310,4,New York,9,4,2,Lease,Approved,65,2,0,No,4,0.60206,Pass
311,4,New York,9,3,2,Lease,Approved,91,4,0,No,8,0.90309,Pass
312,4,Paris,9,5,1,Lease,Approved,52,3,0,No,5,0.69897,Pass
313,4,Paris,14,5,1,Loan,Disapproved,63,4,1,Yes,6,0.77815,Pass
314,4,New York,16,3,1,Lease,Disapproved,54,4,1,Yes,7,0.8451,Pass
315,4,New York,6,4,3,Lease,Approved,45,4,1,Yes,6,0.77815,Pass
316,4,Paris,10,5,3,Lease,Approved,59,4,1,Yes,6,0.77815,Pass
317,4,New York,9,5,1,Loan,Approved,28,4,1,Yes,6,0.77815,Pass
318,4,New York,4,4,2,Lease,Approved,57,4,0,No,6,0.77815,Pass
319,4,Paris,12,3,1,Lease,Approved,56,2,0,No,4,0.60206,Pass
320,4,New York,11,3,3,Lease,Approved,35,5,0,No,10,1,Fail
321,4,Paris,10,5,3,Lease,Approved,31,0,0,No,3,0.47712,Pass
322,4,New York,13,4,2,Lease,Disapproved,87,4,1,Yes,6,0.77815,Pass
323,4,New York,12,4,2,Lease,Approved,23,4,1,Yes,7,0.8451,Pass
324,4,New York,6,2,2,Lease,Approved,70,5,0,No,9,0.95424,Fail
325,4,Sydney,5,2,3,Loan,Approved,25,6,2,Yes,12,1.07918,Fail
326,4,Sydney,9,5,2,Lease,Approved,29,6,2,Yes,11,1.04139,Fail
327,4,Paris,22,4,1,Loan,Disapproved,78,2,0,No,4,0.60206,Pass
328,4,Sydney,10,2,1,Lease,Approved,67,9,7,Yes,18,1.25527,Fail
329,4,New York,8,4,3,Lease,Approved,46,5,0,No,9,0.95424,Fail
